Record_ID,Batch_ID,Test_Date,Season,Region,Supplier,Product_Name,Manufacturer_Country,Typical_Use,Application_Method,Quantity_kg,Unit_Price_LKR_per_kg,Total_Cost_LKR,Base_Amount_g,Nitrogen_N_g_per_100g,Phosphorus_P_g_per_100g,Potassium_K_g_per_100g,Other_Micro_Elements_per_100g,Moisture_Content_pct,Lab_Certified,Notes,Year,Month,year_month,expected_n,expected_p,expected_k,max_moisture_pct,typical_adulterants,dev_n,dev_p,dev_k,excess_moisture,Chemical_Deviation_Score,Quality_Score,Adulterant_Type,Benchmark_Price_LKR_kg,Price_Diff_From_Benchmark,Price_Deviation_Pct,Price_Arbitrage_Flag,Cultivated_Extent_ha,Estimated_Regional_Demand_MT,monthly_rainfall_mm,avg_temperature_c,Provincial_Center_Lat,Provincial_Center_Lon,Primary_Agro_Zone,Estimated_Yield_Loss_Pct,Estimated_Economic_Loss_LKR_per_ha,NLP_Risk_Score,NLP_Risk_Category,Total_Active_NPK,Estimated_Inert_Filler,Ratio_N_to_P,Ratio_N_to_K,Moisture_Volatilization_Interaction,Cost_per_Gram_Active_Nutrient,Moisture_Cost_Waste_LKR_kg
AGR-28351,LT24-1907,2022-05-01,Off-Season,Sabaragamuwa Province,Anuradhapura Agro Mart,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,2.5,277.39,693.47,100,15.0,15.2,14.5,Sulfur: 15.6 g/kg | Boron: 20.6 g/100g,1.8,Yes,Expired stock — discounted,2022,5,2022-05,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.0,0.013333333333333286,0.03333333333333333,0.0,4.67,93.0,Standard_Pure,290.0,-12.61,-4.35,0,10850,1790.25,671.2,25.758064516129032,6.96705,80.37505,Wet Zone,0.0,0.0,0.8,High_Risk,44.7,53.5,0.99,1.03,0.0,0.621,0.0
AGR-83519,MF22-4415A,2022-01-26,Yala,North Central Province,Galle Agrochemical Stores,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,5.0,111.48,557.4,100,20.76,0.0,0.0,Sulfur: 2.36 %,1.9,No,Opened bag — partial quantity,2022,1,2022-01,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.011428571428571354,0.0,0.0,0.3999999999999999,9.14,83.1,Substandard_Blend,160.0,-48.52,-30.33,0,88000,12144.0,41.7,25.038709677419355,8.12585,80.71125,Dry Zone,5.57,30746.4,0.8,High_Risk,20.76,77.34,207.6,207.6,0.022,0.537,0.45
AGR-70573,BT23-4889C,2023-04-08,Off-Season,Central Province,Hayleys Agriculture Holdings,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,2.0,52.76,105.52,100,0.24,0.0,0.05,Calcium: 1.27 % | Magnesium: 0.61 %,4.1,Yes,Opened bag — partial quantity,2023,4,2023-04,0.0,0.0,0.0,2.5,"Limestone powder, Sand",0.0,0.0,0.0,1.5999999999999996,32.0,39.2,Moisture_Weight_Padding,35.0,17.76,50.74,0,13300,4322.5,127.6,25.39333333333333,7.235933333333333,80.68206666666667,Wet Zone,20.0,110400.0,0.8,High_Risk,0.29,95.61,2.4,2.4,0.0,10.552,0.84
AGR-58599,AG23-1502B,2022-06-13,Off-Season,Southern Province,Eastern Agrochem Depot,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,25.0,95.0,2375.0,100,45.9,0.0,0.0,Not Detected,3.8,Yes,,2022,6,2022-06,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.0021739130434782917,0.0,0.0,2.3,46.22,12.3,Moisture_Weight_Padding,180.0,-85.0,-47.22,0,15399,3464.78,286.6,26.53666666666667,6.050433333333333,80.6324,Dry Zone,28.86,159307.2,0.1,Normal,45.9,50.300000000000004,459.0,459.0,0.008,0.207,2.18
AGR-37483,LT22-2068C,2024-01-02,Maha,Uva Province,Jaffna Fertilizer Depot,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,51.5,104.57,5385.35,100,46.2,0.18,0.0,Not Detected,3.7,No,,2024,1,2024-01,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.004347826086956583,0.0,0.0,2.2,44.43,15.8,Moisture_Weight_Padding,105.0,-0.43,-0.41,1,55000,15468.75,299.9,21.56451612903226,6.9331,81.20285000000001,Intermediate Zone,27.72,153014.4,0.1,Normal,46.38,49.919999999999995,256.67,462.0,0.016,0.225,2.3
AGR-88592,LT24-1745,2022-11-25,Off-Season,Central Province,Galle Agrochemical Stores,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,200.0,160.0,32000.0,100,0.0,45.3,0.0,Calcium: 25.2 g/100g,4.0,Yes,,2022,11,2022-11,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.015217391304347887,0.0,1.0,21.52,59.7,Heavy_Insoluble_Filler,210.0,-50.0,-23.81,0,13300,950.95,175.29999999999998,22.586666666666662,7.235933333333333,80.68206666666667,Wet Zone,13.26,73195.2,0.1,Normal,45.3,50.7,0.0,0.0,0.0,0.353,1.6
AGR-88976,AG22-7165C,2022-05-28,Off-Season,Central Province,Browns Agricultural Products,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,2.5,146.04,365.1,100,21.2,0.16,0.03,Sulfur: 6.9 g/100g,1.0,Yes,Sample from bulk storage,2022,5,2022-05,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.00952380952380949,0.0,0.0,0.0,0.95,98.6,Standard_Pure,160.0,-13.96,-8.73,0,13300,2074.8,188.3,24.164516129032258,7.235933333333333,80.68206666666667,Wet Zone,0.0,0.0,0.6000000000000001,Medium_Risk,21.39,77.61,132.5,212.0,0.01,0.683,0.0
AGR-46983,AG24-3075C,2024-02-03,Off-Season,Northern Province,Hayleys Agriculture Holdings,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,100.0,70.0,7000.0,100,0.13,0.25,0.0,Calcium: 14.8 g/kg | Magnesium: 15.3 g/kg,1.2,Yes,,2024,2,2024-02,0.0,0.0,0.0,2.5,"Limestone powder, Sand",0.0,0.0,0.0,0.0,0.0,100.0,Standard_Pure,30.0,40.0,133.33,0,12250,3215.62,15.7,27.85172413793104,9.20826,80.32364,Dry Zone,0.0,0.0,0.1,Normal,0.38,98.42,0.52,1.3,0.0,14.0,0.0
AGR-28706,CR23-1687,2024-12-08,Maha,North Western Province,Hayleys Agriculture Holdings,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,200.5,30.12,6039.06,100,0.0,26.6,0.21,Calcium: 1.03 %,2.8,Yes,Opened bag — partial quantity,2024,12,2024-12,0.0,28.0,0.0,2.0,"Inert soil, River sand",0.0,0.04999999999999995,0.0,0.7999999999999998,21.0,62.1,Substandard_Blend,45.0,-14.88,-33.07,0,95000,9975.0,113.7,24.96451612903226,7.7612499999999995,80.09530000000001,Intermediate Zone,12.5,69000.0,0.8,High_Risk,26.810000000000002,70.39,0.0,0.0,0.0,0.112,0.24
AGR-43806,AG24-3147C,2024-02-17,Yala,Central Province,Galle Agrochemical Stores,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,53.0,200.0,10600.0,100,0.0,45.6,0.0,Calcium: 20.2 g/kg,3.4,Yes,Imported directly,2024,2,2024-02,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.008695652173913012,0.0,0.3999999999999999,8.87,83.5,Substandard_Blend,145.0,55.0,37.93,0,38000,2717.0,27.3,24.83103448275862,7.235933333333333,80.68206666666667,Wet Zone,5.44,30028.8,0.1,Low_Risk,45.6,51.0,0.0,0.0,0.0,0.439,0.8
AGR-81648,MF24-9955A,2023-04-26,Maha,Northern Province,Galle Agrochemical Stores,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,500.0,184.74,92370.0,100,0.0,45.9,0.0,Calcium: 8.2 g/kg,1.0,Yes,Imported directly,2023,4,2023-04,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.0021739130434782917,0.0,0.0,0.22,99.7,Standard_Pure,160.0,24.74,15.46,0,72000,4158.0,58.8,29.25333333333333,9.20826,80.32364,Dry Zone,0.0,0.0,0.1,Low_Risk,45.9,53.1,0.0,0.0,0.0,0.402,0.0
AGR-78143,AG24-1035,2022-07-16,Yala,North Central Province,Galle Agrochemical Stores,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,1000.0,185.0,185000.0,100,0.0,45.1,0.16,Calcium: 8.2 g/kg,0.3,Yes,Expired stock — discounted,2022,7,2022-07,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.019565217391304318,0.0,0.0,1.96,97.1,Standard_Pure,210.0,-25.0,-11.9,0,88000,5566.0,96.5,27.316129032258065,8.12585,80.71125,Dry Zone,0.0,0.0,0.8,High_Risk,45.26,54.440000000000005,0.0,0.0,0.0,0.409,0.0
AGR-35337,AG24-7561B,2023-01-09,Maha,Uva Province,Anuradhapura Agro Mart,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,100.0,35.0,3500.0,100,1.4,0.9,1.0,Organic Carbon: 16.6 g/kg | Humus: 8.2 g/100g,1.2,Yes,Imported directly,2023,1,2023-01,1.5,1.0,1.2,25.0,"Raw soil, Debris, Non-composted waste",0.06666666666666672,0.09999999999999998,0.16666666666666663,0.0,33.33,50.0,Heavy_Insoluble_Filler,40.0,-5.0,-12.5,0,55000,68750.0,263.1,20.080645161290324,6.9331,81.20285000000001,Intermediate Zone,16.66,91963.2,0.1,Low_Risk,3.3,95.5,1.56,1.4,0.08,1.061,0.0
AGR-48905,BT22-2292B,2023-06-02,Maha,Sabaragamuwa Province,Matara Farm Solutions,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,25.0,190.0,4750.0,100,0.0,46.8,0.18,Calcium: 1.46 %,0.6,Yes,,2023,6,2023-06,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.017391304347826025,0.0,0.0,1.74,97.4,Standard_Pure,160.0,30.0,18.75,0,42000,2541.0,337.3,26.09333333333333,6.96705,80.37505,Wet Zone,0.0,0.0,0.1,Normal,46.98,52.42,0.0,0.0,0.0,0.404,0.0
AGR-62312,MF22-8413B,2023-03-26,Yala,Southern Province,Browns Agricultural Products,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,201.5,58.29,11745.43,100,0.0,28.56,0.0,Calcium: 21.9 g/kg,3.8,Yes,Retest recommended,2023,3,2023-03,0.0,28.0,0.0,2.0,"Inert soil, River sand",0.0,0.019999999999999955,0.0,1.7999999999999998,38.0,28.6,Moisture_Weight_Padding,50.0,8.29,16.58,0,44000,4400.0,141.3,26.10967741935484,6.050433333333333,80.6324,Dry Zone,23.5,129720.0,0.6000000000000001,High_Risk,28.56,67.64,0.0,0.0,0.0,0.204,1.05
AGR-40633,CR22-2063B,2024-03-31,Maha,North Central Province,Kandy Farm Supplies,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,50.0,195.0,9750.0,100,0.0,46.9,0.0,Calcium: 7.4 g/kg,0.7,No,Imported directly,2024,3,2024-03,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.019565217391304318,0.0,0.0,1.96,97.1,Substandard_Blend,145.0,50.0,34.48,1,145000,9171.25,42.9,28.0258064516129,8.12585,80.71125,Dry Zone,2.0,11040.0,0.1,Low_Risk,46.9,52.4,0.0,0.0,0.0,0.416,0.0
AGR-60533,LT22-2436B,2024-08-19,Yala,North Western Province,Kurunegala Agri Centre,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,50.0,286.09,14304.5,100,12.0,12.3,17.1,Magnesium: 11.4 g/100g | Boron: 9.9 g/100g,4.2,No,Imported directly,2024,8,2024-08,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.0,0.02500000000000006,0.005882352941176554,2.2,47.09,11.8,Moisture_Weight_Padding,250.0,36.09,14.44,1,62000,10416.0,181.1,25.93870967741936,7.7612499999999995,80.09530000000001,Intermediate Zone,29.04,160300.8,0.1,Low_Risk,41.400000000000006,54.39999999999999,0.98,0.7,0.0,0.691,6.29
AGR-42187,LT22-8798,2022-08-16,Maha,North Central Province,CIC Agri Businesses,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,50.0,185.0,9250.0,100,0.0,0.0,57.83,Chlorine: 11.3 g/100g,3.5,Yes,,2022,8,2022-08,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.036166666666666694,1.5,33.62,37.6,Heavy_Insoluble_Filler,240.0,-55.0,-22.92,0,145000,10005.0,138.2,26.83870967741936,8.12585,80.71125,Dry Zone,20.56,113491.2,0.1,Normal,57.83,38.67,0.0,0.0,0.0,0.32,2.78
AGR-54995,AG24-6170B,2023-02-10,Yala,Western Province,Agromart Ltd,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,2.5,149.04,372.6,100,20.4,0.0,0.0,Sulfur: 6.7 g/kg,1.9,Yes,,2023,2,2023-02,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.02857142857142864,0.0,0.0,0.3999999999999999,10.86,80.5,Substandard_Blend,135.0,14.04,10.4,0,19000,2166.0,67.3,25.567857142857143,6.8655,79.9386,Wet Zone,6.43,35493.6,0.1,Normal,20.4,77.7,204.0,204.0,0.054,0.731,0.6
AGR-16612,CR23-6505,2022-04-24,Yala,Central Province,CIC Agri Businesses,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,1000.0,242.02,242020.0,100,15.0,15.0,14.43,Sulfur: 1.48 % | Boron: 25.8 g/100g,2.9,Yes,Local production batch,2022,4,2022-04,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.0,0.0,0.03800000000000002,0.8999999999999999,21.8,60.1,Substandard_Blend,290.0,-47.98,-16.54,0,38000,7410.0,234.3,23.926666666666662,7.235933333333333,80.68206666666667,Wet Zone,13.15,72588.0,0.4,Medium_Risk,44.43,52.67,1.0,1.04,0.0,0.545,2.18
AGR-75456,BT22-5870,2024-03-01,Maha,Northern Province,Matara Farm Solutions,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,201.0,252.98,50848.98,100,12.08,11.4,17.2,Magnesium: 2.76 % | Boron: 9.8 g/kg,4.1,Yes,Sample from bulk storage,2024,3,2024-03,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.006666666666666672,0.04999999999999997,0.0117647058823529,2.0999999999999996,48.84,9.9,Moisture_Weight_Padding,250.0,2.98,1.19,0,72000,12096.0,3.6,28.82258064516129,9.20826,80.32364,Dry Zone,29.67,163778.4,0.6000000000000001,Medium_Risk,40.68,55.22,1.06,0.7,0.027,0.622,5.31
AGR-97096,CR23-6049B,2024-01-26,Off-Season,Sabaragamuwa Province,Hayleys Agriculture Holdings,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,998.0,52.32,52215.36,100,0.16,0.0,0.0,Calcium: 21.4 g/kg | Magnesium: 2.36 %,2.5,No,Local production batch,2024,1,2024-01,0.0,0.0,0.0,2.5,"Limestone powder, Sand",0.0,0.0,0.0,0.0,0.0,100.0,Substandard_Blend,30.0,22.32,74.4,1,10850,2983.75,138.5,25.59354838709677,6.96705,80.37505,Wet Zone,2.0,11040.0,0.4,Medium_Risk,0.16,97.34,1.6,1.6,0.0,10.464,0.0
AGR-27386,AG22-5729C,2022-02-20,Off-Season,Northern Province,Anuradhapura Agro Mart,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,2.0,61.78,123.56,100,0.0,0.25,0.24,Calcium: 0.73 % | Magnesium: 25.7 g/kg,3.0,Yes,,2022,2,2022-02,0.0,0.0,0.0,2.5,"Limestone powder, Sand",0.0,0.0,0.0,0.5,10.0,81.0,Substandard_Blend,45.0,16.78,37.29,0,12250,3215.62,65.4,25.925,9.20826,80.32364,Dry Zone,6.25,34500.0,0.1,Normal,0.49,96.51,0.0,0.0,0.0,12.356,0.31
AGR-22752,BT23-6561C,2024-10-24,Maha,Central Province,CIC Agri Businesses,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,100.5,21.93,2203.97,100,1.6,0.9,1.3,Organic Carbon: 20.9 g/kg | Humus: 2.29 %,4.1,Yes,Expired stock — discounted,2024,10,2024-10,1.5,1.0,1.2,25.0,"Raw soil, Debris, Non-composted waste",0.06666666666666672,0.09999999999999998,0.08333333333333341,0.0,25.0,62.5,Substandard_Blend,35.0,-13.07,-37.34,0,48000,62400.0,178.2,23.41935483870968,7.235933333333333,80.68206666666667,Wet Zone,12.5,69000.0,0.8,High_Risk,3.8,92.1,1.78,1.23,0.273,0.577,0.0
AGR-25580,AG23-3920B,2023-09-16,Yala,Western Province,Eastern Agrochem Depot,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,200.0,255.0,51000.0,100,14.5,15.0,14.3,Sulfur: 13.1 g/kg | Boron: 20.4 g/kg,0.5,No,Sample from bulk storage,2023,9,2023-09,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.03333333333333333,0.0,0.04666666666666662,0.0,8.0,88.0,Substandard_Blend,255.0,0.0,0.0,1,19000,2707.5,554.6,25.99333333333333,6.8655,79.9386,Wet Zone,4.0,22080.0,0.6000000000000001,Medium_Risk,43.8,55.7,0.97,1.01,0.017,0.582,0.0
AGR-43632,AG24-8142,2023-02-22,Off-Season,North Western Province,CIC Agri Businesses,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,52.0,175.0,9100.0,100,0.0,0.1,61.1,Chlorine: 20.3 g/100g,1.7,Yes,Slight clumping observed,2023,2,2023-02,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.018333333333333358,0.0,1.83,97.3,Standard_Pure,195.0,-20.0,-10.26,0,21700,1367.1,87.9,24.98928571428572,7.7612499999999995,80.09530000000001,Intermediate Zone,0.0,0.0,0.6000000000000001,High_Risk,61.2,37.099999999999994,0.0,0.0,0.0,0.286,0.0
AGR-81619,MF22-6359B,2022-02-12,Off-Season,Sabaragamuwa Province,Lankem Ceylon PLC,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,200.0,257.92,51584.0,100,14.8,14.9,14.4,Sulfur: 7.0 g/kg | Boron: 1.0 %,1.8,Yes,,2022,2,2022-02,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.013333333333333286,0.006666666666666643,0.03999999999999997,0.0,6.0,91.0,Standard_Pure,290.0,-32.08,-11.06,0,10850,1790.25,83.10000000000001,25.90357142857143,6.96705,80.37505,Wet Zone,0.0,0.0,0.1,Normal,44.1,54.1,0.99,1.03,0.024,0.585,0.0
AGR-43937,CR23-8853A,2024-10-07,Maha,Eastern Province,Eastern Agrochem Depot,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,1001.5,266.8,267200.2,100,12.0,11.7,16.8,Magnesium: 7.3 g/100g | Boron: 1.39 %,0.5,Yes,,2024,10,2024-10,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.0,0.02500000000000006,0.0117647058823529,0.0,3.68,94.5,Standard_Pure,250.0,16.8,6.72,0,132000,23232.0,318.1,26.95483870967742,7.869866666666667,81.52076666666666,Dry Zone,0.0,0.0,0.1,Normal,40.5,59.0,1.03,0.71,0.0,0.659,0.0
AGR-74731,AG22-6205,2022-05-06,Maha,Northern Province,Abans Agri Supplies,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,5.0,70.0,350.0,100,0.21,0.0,0.0,Calcium: 10.6 g/100g | Magnesium: 1.07 %,3.2,Yes,Local production batch,2022,5,2022-05,0.0,0.0,0.0,2.5,"Limestone powder, Sand",0.0,0.0,0.0,0.7000000000000002,14.0,73.4,Substandard_Blend,45.0,25.0,55.56,0,72000,18900.0,41.8,29.18387096774193,9.20826,80.32364,Dry Zone,8.75,48300.0,0.4,Medium_Risk,0.21,96.59,2.1,2.1,0.0,14.0,0.49
AGR-69432,MF22-6614A,2022-01-07,Off-Season,Western Province,Kurunegala Agri Centre,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,2.0,125.22,250.44,100,20.0,0.0,0.16,Sulfur: 14.7 g/100g,1.1,Yes,,2022,1,2022-01,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.047619047619047616,0.0,0.0,0.0,4.76,92.9,Standard_Pure,160.0,-34.78,-21.74,0,6650,758.1,74.7,26.070967741935487,6.8655,79.9386,Wet Zone,0.0,0.0,0.1,Normal,20.16,78.74,200.0,125.0,0.052,0.621,0.0
AGR-54051,AG23-2554A,2024-10-24,Yala,Sabaragamuwa Province,Colombo Pesticide Warehouse,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,25.0,259.17,6479.25,100,14.5,15.08,14.8,Sulfur: 7.2 g/100g | Boron: 11.6 g/100g,4.5,Yes,Retest recommended,2024,10,2024-10,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.03333333333333333,0.005333333333333338,0.013333333333333286,2.5,55.2,0.0,Moisture_Weight_Padding,235.0,24.17,10.29,0,31000,5115.0,426.0,25.82258064516129,6.96705,80.37505,Wet Zone,33.85,186852.0,0.6000000000000001,High_Risk,44.379999999999995,51.120000000000005,0.96,0.98,0.15,0.584,6.48
AGR-59375,CR24-2212A,2023-07-19,Yala,Eastern Province,Pettah Agro Traders,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,200.5,30.0,6015.0,100,1.6,1.0,1.4,Organic Carbon: 22.0 g/100g | Humus: 27.2 g/kg,1.8,No,,2023,7,2023-07,1.5,1.0,1.2,25.0,"Raw soil, Debris, Non-composted waste",0.06666666666666672,0.0,0.16666666666666663,0.0,23.33,65.0,Substandard_Blend,40.0,-10.0,-25.0,0,82000,90200.0,52.7,30.0,7.869866666666667,81.52076666666666,Dry Zone,11.66,64363.2,0.1,Normal,4.0,94.2,1.6,1.14,0.12,0.75,0.0
AGR-56196,MF23-2643C,2023-09-23,Off-Season,North Western Province,Kurunegala Agri Centre,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,200.0,278.34,55668.0,100,11.5,11.9,17.2,Magnesium: 14.7 g/kg | Boron: 14.3 g/kg,1.8,Yes,Local production batch,2023,9,2023-09,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.041666666666666664,0.008333333333333304,0.0117647058823529,0.0,6.18,90.7,Standard_Pure,275.0,3.34,1.21,0,21700,3645.6,190.9,25.21333333333333,7.7612499999999995,80.09530000000001,Intermediate Zone,0.0,0.0,0.4,Medium_Risk,40.599999999999994,57.60000000000001,0.97,0.67,0.075,0.686,0.0
AGR-21145,CR22-9098,2022-03-08,Off-Season,Southern Province,Kandy Farm Supplies,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,200.0,200.0,40000.0,100,0.23,0.0,57.25,Chlorine: 10.1 g/100g,3.2,No,Opened bag — partial quantity,2022,3,2022-03,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.04583333333333333,1.2000000000000002,28.58,47.5,Heavy_Insoluble_Filler,240.0,-40.0,-16.67,0,15399,923.94,106.0,26.738709677419354,6.050433333333333,80.6324,Dry Zone,17.29,95440.8,0.8,High_Risk,57.48,39.32,2.3,0.0,0.0,0.348,2.4
AGR-90303,AG22-1222A,2022-11-16,Off-Season,Uva Province,Eastern Agrochem Depot,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,24.0,201.86,4844.64,100,0.0,0.0,57.1,Chlorine: 25.4 g/100g,1.2,No,,2022,11,2022-11,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.04833333333333331,0.0,4.83,92.8,Substandard_Blend,240.0,-38.14,-15.89,0,14699,1102.42,221.8,21.49,6.9331,81.20285000000001,Intermediate Zone,2.42,13358.4,0.1,Normal,57.1,41.699999999999996,0.0,0.0,0.0,0.354,0.0
AGR-10041,MF23-6852A,2023-08-27,Off-Season,Western Province,Jaffna Fertilizer Depot,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,500.0,36.24,18120.0,100,0.04,28.3,0.2,Calcium: 10.4 g/100g,3.4,Yes,,2023,8,2023-08,0.0,28.0,0.0,2.0,"Inert soil, River sand",0.0,0.01071428571428574,0.0,1.4,29.07,45.2,Heavy_Insoluble_Filler,50.0,-13.76,-27.52,0,6650,631.75,149.6,27.006451612903227,6.8655,79.9386,Wet Zone,18.04,99580.8,0.1,Normal,28.54,68.06,0.0,0.2,0.0,0.127,0.51
AGR-42812,CR23-7480A,2024-04-14,Maha,North Western Province,Jaffna Fertilizer Depot,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,500.0,100.0,50000.0,100,45.4,0.23,0.0,Not Detected,0.5,No,,2024,4,2024-04,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.013043478260869596,0.0,0.0,0.0,1.3,98.0,Substandard_Blend,105.0,-5.0,-4.76,1,95000,22443.75,127.9,28.416666666666668,7.7612499999999995,80.09530000000001,Intermediate Zone,2.0,11040.0,0.1,Normal,45.629999999999995,53.870000000000005,197.39,454.0,0.007,0.219,0.0
AGR-10086,BT24-8056C,2024-07-14,Maha,Uva Province,Eastern Agrochem Depot,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,25.0,113.75,2843.75,100,20.0,0.0,0.09,Sulfur: 1.99 %,4.5,No,Imported directly,2024,7,2024-07,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.047619047619047616,0.0,0.0,3.0,64.76,0.0,Moisture_Weight_Padding,120.0,-6.25,-5.21,0,55000,8250.0,92.0,25.896774193548385,6.9331,81.20285000000001,Intermediate Zone,39.88,220137.6,0.1,Low_Risk,20.09,75.41,200.0,200.0,0.214,0.566,3.41
AGR-41645,BT22-9286A,2024-07-17,Yala,Western Province,Galle Agrochemical Stores,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,1000.0,148.04,148040.0,100,20.0,0.0,0.19,Sulfur: 19.3 g/100g,2.2,Yes,Slight clumping observed,2024,7,2024-07,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.047619047619047616,0.0,0.0,0.7000000000000002,18.76,66.3,Substandard_Blend,120.0,28.04,23.37,0,19000,2166.0,316.0,27.12903225806452,6.8655,79.9386,Wet Zone,11.13,61437.6,0.6000000000000001,High_Risk,20.19,77.61,200.0,105.26,0.105,0.733,1.04
AGR-27182,LT22-5603C,2023-11-08,Yala,Southern Province,Jaffna Fertilizer Depot,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,25.0,155.12,3878.0,100,0.0,46.0,0.0,Calcium: 22.3 g/kg,2.2,Yes,,2023,11,2023-11,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.0,0.0,0.0,0.0,100.0,Standard_Pure,160.0,-4.88,-3.05,0,44000,2420.0,468.3,25.473333333333336,6.050433333333333,80.6324,Dry Zone,0.0,0.0,0.1,Normal,46.0,51.8,0.0,0.0,0.0,0.337,0.0
