Record_ID,Batch_ID,Test_Date,Season,Region,Supplier,Product_Name,Manufacturer_Country,Typical_Use,Application_Method,Quantity_kg,Unit_Price_LKR_per_kg,Total_Cost_LKR,Base_Amount_g,Nitrogen_N_g_per_100g,Phosphorus_P_g_per_100g,Potassium_K_g_per_100g,Other_Micro_Elements_per_100g,Moisture_Content_pct,Lab_Certified,Notes
AGR-45543,LT23-8162C,2022-12-26,Off-Season,North Western Province,Pettah Agro Traders,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,501.5,110.0,55165.0,100,46.9,0.0,0.0,Not Detected,1.6,No,Opened bag — partial quantity
AGR-57172,AG22-4489B,2023-01-05,Maha,North Central Province,Jaffna Fertilizer Depot,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,500.0,284.07,142035.0,100,15.1,15.3,14.9,Sulfur: 15.3 g/100g | Boron: 8.8 g/100g,3.0,Yes,
AGR-21375,AG22-7813C,2023-03-13,Yala,Sabaragamuwa Province,Galle Agrochemical Stores,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,25.0,270.0,6750.0,100,14.5,14.57,14.3,Sulfur: 1.45 % | Boron: 0.85 %,1.4,No,Sample from bulk storage
AGR-80356,BT23-8031B,2022-06-11,Off-Season,Sabaragamuwa Province,Jaffna Fertilizer Depot,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,1000.0,118.2,118200.0,100,20.43,0.0,0.0,Sulfur: 10.3 g/kg,2.1,Yes,
AGR-78649,AG22-5441B,2023-11-08,Off-Season,Eastern Province,Agromart Ltd,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,2.0,30.0,60.0,100,1.42,1.0,1.4,Organic Carbon: 2.29 % | Humus: 8.9 g/kg,2.6,Yes,
AGR-39603,BT23-8308B,2024-01-04,Maha,Uva Province,Galle Agrochemical Stores,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,503.0,37.05,18636.15,100,1.3,1.0,1.4,Organic Carbon: 16.5 g/kg | Humus: 16.7 g/100g,2.8,Yes,
AGR-74998,CR23-5089,2024-09-22,Off-Season,Sabaragamuwa Province,Eastern Agrochem Depot,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,199.0,143.42,28540.58,100,20.2,0.0,0.21,Sulfur: 22.8 g/100g,2.0,Yes,
AGR-74043,MF24-4037B,2023-07-07,Off-Season,Uva Province,CIC Agri Businesses,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,8.0,175.0,1400.0,100,0.0,46.0,0.19,Calcium: 19.8 g/kg,1.5,Yes,Expired stock — discounted
AGR-62611,MF23-9687A,2022-11-08,Maha,Southern Province,CIC Agri Businesses,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,200.0,225.0,45000.0,100,14.9,14.6,14.55,Sulfur: 10.0 g/100g | Boron: 8.5 g/100g,2.9,Yes,Sample from bulk storage
AGR-73759,LT23-2565C,2024-12-12,Yala,Central Province,Eastern Agrochem Depot,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,1000.0,133.97,133970.0,100,21.1,0.0,0.0,Sulfur: 17.1 g/100g,0.7,Yes,
AGR-54797,LT23-7798C,2022-04-20,Off-Season,Western Province,Lankem Ceylon PLC,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,26.0,179.7,4672.2,100,0.02,45.5,0.0,Calcium: 10.6 g/kg,2.7,Yes,Local production batch
AGR-21526,MF23-7480,2023-12-18,Off-Season,Southern Province,Abans Agri Supplies,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,3.0,158.25,474.75,100,0.0,45.8,0.0,Calcium: 25.8 g/kg,2.4,Yes,
AGR-65574,CR23-2505C,2022-10-07,Off-Season,North Western Province,CIC Agri Businesses,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,500.0,119.51,59755.0,100,20.2,0.13,0.0,Sulfur: 19.1 g/kg,3.7,No,Sample from bulk storage
AGR-63623,LT23-5671A,2023-08-19,Off-Season,Southern Province,Kurunegala Agri Centre,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,1000.0,177.8,177800.0,100,0.0,45.5,0.08,Calcium: 13.7 g/kg,2.1,No,Opened bag — partial quantity
AGR-69746,AG24-9282C,2024-04-23,Off-Season,North Central Province,Pettah Agro Traders,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,10.0,70.0,700.0,100,0.0,0.09,0.0,Calcium: 2.52 % | Magnesium: 15.7 g/kg,1.0,Yes,Retest recommended
AGR-80305,CR23-5414C,2023-01-09,Yala,Western Province,Colombo Pesticide Warehouse,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,1000.0,110.0,110000.0,100,46.4,0.0,0.0,Not Detected,2.2,No,
AGR-49655,LT24-6910A,2024-05-30,Maha,Central Province,Pettah Agro Traders,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,50.0,135.0,6750.0,100,20.9,0.0,0.0,Sulfur: 2.45 %,1.5,Yes,
AGR-55087,AG23-2141A,2024-02-18,Yala,Western Province,Browns Agricultural Products,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,1.0,210.0,210.0,100,0.2,0.0,59.38,Chlorine: 24.5 g/kg,2.7,Yes,Local production batch
AGR-47903,CR24-6260B,2023-09-19,Yala,Western Province,Browns Agricultural Products,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,25.5,180.0,4590.0,100,0.0,46.3,0.0,Calcium: 26.7 g/kg,4.4,Yes,Retest recommended
AGR-95494,BT22-9988B,2024-11-22,Maha,North Western Province,Anuradhapura Agro Mart,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,1000.5,56.07,56098.04,100,0.14,28.2,0.13,Calcium: 19.8 g/100g,4.0,Yes,Local production batch
AGR-55757,CR24-4971A,2022-04-23,Off-Season,North Central Province,Pettah Agro Traders,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,500.0,22.15,11075.0,100,1.5,0.9,1.4,Organic Carbon: 24.5 g/100g | Humus: 21.1 g/kg,3.6,Yes,
AGR-27007,AG23-6183B,2024-02-04,Off-Season,North Western Province,Jaffna Fertilizer Depot,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,503.0,44.67,22469.01,100,0.09,27.6,0.0,Calcium: 2.25 %,3.6,Yes,Retest recommended
AGR-71515,AG23-5680C,2022-06-25,Off-Season,Uva Province,Pettah Agro Traders,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,12.0,192.32,2307.84,100,0.01,0.0,60.5,Chlorine: 21.4 g/100g,0.8,Yes,Expired stock — discounted
AGR-46151,LT24-9582,2023-01-11,Off-Season,Southern Province,Abans Agri Supplies,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,500.0,140.0,70000.0,100,21.6,0.0,0.0,Sulfur: 16.9 g/100g,2.6,Yes,Retest recommended
AGR-58903,LT23-6130A,2023-04-14,Maha,Uva Province,Anuradhapura Agro Mart,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,25.0,126.37,3159.25,100,21.3,0.0,0.08,Sulfur: 14.2 g/kg,1.6,Yes,
AGR-55203,BT23-7093C,2024-05-19,Off-Season,North Central Province,CIC Agri Businesses,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,1001.0,18.22,18238.22,100,1.31,1.03,1.5,Organic Carbon: 1.27 % | Humus: 23.0 g/kg,0.5,Yes,Retest recommended
AGR-67122,CR22-5172A,2022-01-04,Off-Season,Central Province,Jaffna Fertilizer Depot,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,10.0,20.0,200.0,100,1.5,0.9,1.6,Organic Carbon: 10.8 g/100g | Humus: 21.0 g/kg,1.6,Yes,Sample from bulk storage
AGR-87647,CR24-5695C,2022-09-13,Yala,Western Province,Matara Farm Solutions,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,100.0,140.0,14000.0,100,19.96,0.0,0.07,Sulfur: 13.1 g/100g,1.0,Yes,
AGR-64417,CR23-6897B,2024-08-23,Yala,Southern Province,Lankem Ceylon PLC,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,2.0,300.0,600.0,100,11.7,12.3,17.17,Magnesium: 1.95 % | Boron: 19.9 g/kg,3.6,Yes,
AGR-99431,MF24-6278B,2024-07-23,Off-Season,Eastern Province,Colombo Pesticide Warehouse,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,2.5,256.39,640.97,100,15.4,15.4,15.0,Sulfur: 22.4 g/kg | Boron: 22.0 g/100g,1.5,Yes,
AGR-90211,LT24-9016B,2023-03-07,Off-Season,Uva Province,Galle Agrochemical Stores,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,101.5,25.0,2537.5,100,1.5,1.0,1.5,Organic Carbon: 7.9 g/kg | Humus: 26.2 g/kg,2.6,No,
AGR-77572,MF23-6589B,2024-04-08,Off-Season,Central Province,Galle Agrochemical Stores,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,999.0,35.84,35804.16,100,1.41,0.9,1.29,Organic Carbon: 19.1 g/kg | Humus: 1.86 %,2.6,No,Retest recommended
AGR-14517,MF24-8413C,2022-08-17,Yala,Western Province,Galle Agrochemical Stores,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,25.0,213.51,5337.75,100,0.0,0.03,58.9,Chlorine: 9.5 g/100g,1.3,Yes,Sample from bulk storage
AGR-24621,BT23-6684A,2023-03-16,Yala,Central Province,CIC Agri Businesses,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,1.0,115.0,115.0,100,20.4,0.0,0.0,Sulfur: 16.7 g/100g,3.8,Yes,Opened bag — partial quantity
AGR-53852,AG24-1915A,2024-01-22,Off-Season,Eastern Province,Anuradhapura Agro Mart,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,5.5,120.0,660.0,100,21.4,0.0,0.0,Sulfur: 12.7 g/kg,1.0,Yes,Opened bag — partial quantity
AGR-35834,AG22-6522C,2022-05-19,Yala,North Central Province,Kandy Farm Supplies,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,5.5,139.7,768.35,100,20.9,0.0,0.0,Sulfur: 2.64 %,0.4,Yes,Opened bag — partial quantity
AGR-20805,BT24-9953B,2024-04-27,Maha,Uva Province,Lankem Ceylon PLC,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,100.0,24.64,2464.0,100,1.4,1.0,1.3,Organic Carbon: 9.3 g/kg | Humus: 15.1 g/kg,1.6,No,Sample from bulk storage
AGR-18080,AG24-8394,2024-11-28,Maha,Eastern Province,Pettah Agro Traders,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,200.0,175.13,35026.0,100,0.09,0.0,59.1,Chlorine: 11.8 g/kg,2.3,Yes,Slight clumping observed
AGR-24086,CR24-6848A,2022-08-06,Yala,Eastern Province,Agromart Ltd,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,100.0,140.64,14064.0,100,21.21,0.17,0.0,Sulfur: 2.12 %,1.3,No,
AGR-90205,LT24-9021A,2024-02-29,Off-Season,Western Province,Galle Agrochemical Stores,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,53.0,255.0,13515.0,100,15.0,14.67,15.2,Sulfur: 2.19 % | Boron: 11.3 g/kg,1.5,No,
AGR-58199,LT23-7409C,2023-11-17,Maha,Southern Province,Hayleys Agriculture Holdings,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,2.0,260.0,520.0,100,15.6,15.1,14.9,Sulfur: 27.3 g/kg | Boron: 2.02 %,1.0,Yes,
AGR-77436,LT22-1304B,2024-04-03,Yala,North Western Province,Galle Agrochemical Stores,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,25.0,149.3,3732.5,100,20.0,0.22,0.0,Sulfur: 2.64 %,0.4,Yes,Slight clumping observed
AGR-88011,AG23-9348C,2022-11-29,Off-Season,Sabaragamuwa Province,Lankem Ceylon PLC,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,503.0,35.0,17605.0,100,1.4,1.1,1.5,Organic Carbon: 23.3 g/kg | Humus: 12.5 g/kg,4.2,No,
AGR-25032,BT22-6416C,2022-03-10,Maha,Central Province,Abans Agri Supplies,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,1.0,122.4,122.4,100,45.6,0.0,0.0,Not Detected,3.7,No,Local production batch
AGR-37109,CR23-3052,2024-05-24,Yala,Southern Province,Kandy Farm Supplies,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,103.0,34.23,3525.69,100,1.3,0.9,1.4,Organic Carbon: 7.8 g/100g | Humus: 20.8 g/100g,1.2,Yes,
AGR-25122,LT22-2539C,2022-07-06,Off-Season,Southern Province,Lankem Ceylon PLC,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,502.0,46.23,23207.46,100,0.0,27.69,0.0,Calcium: 23.8 g/100g,0.3,No,
AGR-37987,AG23-4537A,2024-03-26,Maha,Eastern Province,Hayleys Agriculture Holdings,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,10.0,185.07,1850.7,100,0.0,45.7,0.0,Calcium: 15.2 g/100g,3.5,Yes,
AGR-78384,BT23-2396C,2022-04-09,Yala,Uva Province,Hayleys Agriculture Holdings,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,100.0,40.42,4042.0,100,0.0,28.9,0.0,Calcium: 2.43 %,0.5,Yes,
AGR-56348,MF23-7967A,2024-08-20,Yala,Southern Province,Eastern Agrochem Depot,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,100.0,170.0,17000.0,100,0.0,0.0,61.8,Chlorine: 21.8 g/kg,1.9,Yes,
AGR-67239,MF23-2881A,2024-12-27,Yala,North Western Province,Galle Agrochemical Stores,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,1001.0,109.54,109649.54,100,46.3,0.0,0.0,Not Detected,2.3,Yes,Imported directly
AGR-24799,CR23-1556,2024-11-09,Yala,Central Province,Kurunegala Agri Centre,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,100.0,50.0,5000.0,100,0.0,0.0,0.0,Calcium: 20.5 g/100g | Magnesium: 0.78 %,3.9,Yes,Expired stock — discounted
AGR-79218,AG24-2338B,2024-09-11,Maha,Eastern Province,Matara Farm Solutions,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,1.0,41.48,41.48,100,0.15,29.07,0.19,Calcium: 1.3 %,1.6,No,Expired stock — discounted
AGR-79674,BT23-7077B,2022-07-24,Yala,Southern Province,Agromart Ltd,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,51.0,177.84,9069.84,100,0.11,46.8,0.0,Calcium: 21.2 g/kg,1.0,Yes,Opened bag — partial quantity
AGR-88874,CR24-6301B,2023-04-26,Yala,Northern Province,Abans Agri Supplies,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,10.0,110.91,1109.1,100,45.9,0.0,0.0,Not Detected,0.9,Yes,Imported directly
AGR-17823,CR24-7106B,2024-07-17,Off-Season,Southern Province,Kandy Farm Supplies,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,500.0,270.0,135000.0,100,15.51,14.5,14.9,Sulfur: 11.8 g/100g | Boron: 13.4 g/kg,1.7,Yes,
AGR-67131,CR23-9961C,2022-10-03,Off-Season,North Central Province,Hayleys Agriculture Holdings,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,8.0,308.95,2471.6,100,12.3,12.4,17.4,Magnesium: 15.6 g/100g | Boron: 15.8 g/100g,2.4,Yes,Retest recommended
AGR-29523,LT23-3756B,2022-03-28,Maha,Northern Province,CIC Agri Businesses,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,1000.0,287.83,287830.0,100,14.7,14.9,15.3,Sulfur: 1.19 % | Boron: 1.61 %,0.4,Yes,
AGR-72919,LT22-5245A,2023-07-08,Maha,Sabaragamuwa Province,CIC Agri Businesses,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,2.0,190.82,381.64,100,0.0,0.03,59.4,Chlorine: 22.0 g/100g,4.0,Yes,Opened bag — partial quantity
AGR-15626,CR23-1965C,2023-07-20,Yala,Sabaragamuwa Province,Anuradhapura Agro Mart,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,26.0,110.81,2881.06,100,20.0,0.18,0.04,Sulfur: 16.5 g/kg,0.8,Yes,Imported directly
AGR-33363,BT22-5310,2024-07-12,Yala,Eastern Province,CIC Agri Businesses,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,50.0,59.64,2982.0,100,0.05,0.0,0.14,Calcium: 15.9 g/100g | Magnesium: 22.1 g/100g,3.1,Yes,
AGR-80748,LT23-7856A,2022-10-02,Yala,Northern Province,Matara Farm Solutions,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,4.0,18.65,74.6,100,1.57,1.0,1.5,Organic Carbon: 20.5 g/kg | Humus: 17.1 g/kg,1.7,Yes,
AGR-88203,LT24-3926B,2023-04-04,Maha,Western Province,Abans Agri Supplies,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,49.0,70.0,3430.0,100,0.0,0.06,0.0,Calcium: 0.93 % | Magnesium: 27.1 g/100g,1.4,Yes,
AGR-78000,MF24-6049A,2022-11-25,Off-Season,Sabaragamuwa Province,Anuradhapura Agro Mart,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,11.5,52.62,605.13,100,0.0,0.0,0.0,Calcium: 1.84 % | Magnesium: 22.0 g/100g,2.0,Yes,Opened bag — partial quantity
AGR-98507,LT22-7967,2023-03-01,Maha,North Central Province,Galle Agrochemical Stores,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,2.0,95.0,190.0,100,46.5,0.0,0.06,Not Detected,0.6,Yes,Expired stock — discounted
AGR-85116,LT22-3264A,2022-11-08,Off-Season,Sabaragamuwa Province,Anuradhapura Agro Mart,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,100.0,55.76,5576.0,100,0.23,27.8,0.0,Calcium: 15.6 g/100g,1.7,Yes,Opened bag — partial quantity
AGR-45852,CR24-8684B,2022-03-16,Maha,Western Province,Hayleys Agriculture Holdings,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,4.0,141.67,566.68,100,0.0,47.0,0.05,Calcium: 23.3 g/100g,1.8,Yes,Slight clumping observed
AGR-14967,BT23-7817C,2022-06-09,Off-Season,Western Province,Anuradhapura Agro Mart,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,500.0,30.0,15000.0,100,1.6,0.9,2.0,Organic Carbon: 2.79 % | Humus: 15.9 g/100g,3.1,No,Sample from bulk storage
AGR-37584,BT22-7316B,2023-12-26,Maha,Southern Province,Pettah Agro Traders,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,500.0,54.36,27180.0,100,0.0,28.1,0.15,Calcium: 2.07 %,2.3,No,Opened bag — partial quantity
AGR-66449,AG23-2053A,2022-11-29,Off-Season,Uva Province,Kandy Farm Supplies,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,8.0,255.57,2044.56,100,11.9,12.4,17.7,Magnesium: 22.0 g/100g | Boron: 2.31 %,3.3,Yes,Imported directly
AGR-91455,LT23-6125,2024-05-16,Off-Season,Uva Province,Lankem Ceylon PLC,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,12.0,25.0,300.0,100,1.5,1.01,1.5,Organic Carbon: 0.79 % | Humus: 22.1 g/100g,2.4,Yes,Expired stock — discounted
AGR-29362,LT24-9043C,2022-12-26,Maha,Southern Province,Browns Agricultural Products,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,10.0,125.0,1250.0,100,21.2,0.0,0.0,Sulfur: 27.8 g/kg,3.1,Yes,
AGR-94309,AG22-7954A,2024-07-05,Off-Season,Uva Province,Pettah Agro Traders,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,10.0,245.0,2450.0,100,15.5,15.5,15.13,Sulfur: 20.4 g/kg | Boron: 0.66 %,0.8,No,
AGR-94737,MF24-2372,2023-01-20,Off-Season,Sabaragamuwa Province,Pettah Agro Traders,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,998.0,200.0,199600.0,100,0.14,0.0,59.7,Chlorine: 1.87 %,3.5,Yes,Imported directly
AGR-92812,MF22-6592C,2023-08-17,Off-Season,North Western Province,Hayleys Agriculture Holdings,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,100.0,40.0,4000.0,100,1.3,0.9,1.3,Organic Carbon: 0.76 % | Humus: 25.6 g/kg,4.1,Yes,Expired stock — discounted
AGR-63693,CR23-2808C,2022-04-07,Yala,Southern Province,Kandy Farm Supplies,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,1000.0,233.22,233220.0,100,15.2,15.2,14.4,Sulfur: 1.35 % | Boron: 10.5 g/100g,1.7,Yes,Sample from bulk storage
AGR-85083,BT23-3087,2022-11-08,Yala,Northern Province,CIC Agri Businesses,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,201.5,100.45,20240.67,100,46.4,0.0,0.0,Not Detected,2.2,Yes,
AGR-67693,LT23-1808,2023-05-28,Maha,Southern Province,Kurunegala Agri Centre,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,100.0,119.37,11937.0,100,46.7,0.0,0.0,Not Detected,0.7,Yes,
AGR-45793,AG24-7644,2024-07-05,Off-Season,Western Province,Browns Agricultural Products,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,1000.0,120.0,120000.0,100,20.8,0.12,0.0,Sulfur: 16.4 g/kg,3.1,Yes,
AGR-63434,BT23-9686,2022-07-23,Maha,Central Province,Anuradhapura Agro Mart,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,5.0,159.26,796.3,100,0.0,45.86,0.0,Calcium: 0.98 %,3.3,Yes,Opened bag — partial quantity
AGR-16502,AG22-8987B,2022-06-19,Maha,North Central Province,Agromart Ltd,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,5.0,31.58,157.9,100,1.43,1.0,1.4,Organic Carbon: 19.5 g/kg | Humus: 22.9 g/kg,2.6,No,
AGR-88908,AG22-8877A,2022-05-13,Off-Season,Northern Province,Matara Farm Solutions,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,3.0,185.0,555.0,100,0.18,46.5,0.0,Calcium: 23.6 g/100g,1.0,Yes,Sample from bulk storage
AGR-59003,BT23-9746B,2024-08-01,Maha,Uva Province,Browns Agricultural Products,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,10.0,280.37,2803.7,100,12.2,12.1,17.2,Magnesium: 14.8 g/kg | Boron: 1.02 %,2.8,No,Local production batch
AGR-13677,AG24-2671A,2023-12-23,Maha,North Western Province,Hayleys Agriculture Holdings,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,200.0,50.46,10092.0,100,0.0,28.7,0.0,Calcium: 1.04 %,1.3,Yes,Local production batch
AGR-21399,LT23-9794C,2022-02-03,Yala,Sabaragamuwa Province,Kandy Farm Supplies,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,50.0,68.78,3439.0,100,0.0,0.22,0.0,Calcium: 7.0 g/100g | Magnesium: 2.42 %,0.8,Yes,Slight clumping observed
AGR-33135,CR24-3473,2022-07-05,Maha,Northern Province,Kandy Farm Supplies,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,6.5,116.27,755.75,100,21.4,0.16,0.17,Sulfur: 25.2 g/100g,1.2,Yes,Opened bag — partial quantity
AGR-47205,MF22-1020,2024-02-09,Yala,Southern Province,Abans Agri Supplies,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,23.0,38.41,883.43,100,1.4,0.9,1.4,Organic Carbon: 2.79 % | Humus: 14.0 g/100g,2.8,Yes,Local production batch
AGR-10859,CR24-1822C,2024-08-07,Maha,North Central Province,CIC Agri Businesses,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,50.0,275.0,13750.0,100,12.3,11.77,16.5,Magnesium: 1.1 % | Boron: 26.1 g/kg,3.5,Yes,Retest recommended
AGR-57985,MF24-6816A,2023-06-03,Off-Season,Uva Province,Abans Agri Supplies,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,5.0,254.8,1274.0,100,11.59,11.4,16.5,Magnesium: 19.3 g/100g | Boron: 21.9 g/kg,1.4,Yes,Imported directly
AGR-99047,CR24-1344C,2023-03-03,Off-Season,Eastern Province,Jaffna Fertilizer Depot,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,52.0,228.37,11875.24,100,15.4,15.19,14.9,Sulfur: 11.5 g/100g | Boron: 17.4 g/kg,4.0,Yes,Imported directly
AGR-68305,BT24-4554C,2022-08-13,Yala,Southern Province,Browns Agricultural Products,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,4.0,71.14,284.56,100,0.0,0.12,0.0,Calcium: 1.09 % | Magnesium: 2.71 %,4.2,No,
AGR-14439,BT22-1944C,2024-02-25,Maha,Eastern Province,Anuradhapura Agro Mart,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,25.0,63.61,1590.25,100,0.07,0.0,0.0,Calcium: 2.54 % | Magnesium: 19.4 g/kg,1.5,Yes,
AGR-53852,LT22-9923B,2023-07-30,Off-Season,Sabaragamuwa Province,Abans Agri Supplies,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,10.0,53.66,536.6,100,0.0,0.0,0.0,Calcium: 1.22 % | Magnesium: 9.5 g/kg,1.8,No,Sample from bulk storage
AGR-24991,CR23-6157C,2023-11-10,Yala,Western Province,Abans Agri Supplies,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,1000.5,189.06,189154.53,100,0.0,45.4,0.0,Calcium: 0.89 %,0.6,Yes,Retest recommended
AGR-66130,BT22-7958B,2024-06-18,Maha,Sabaragamuwa Province,Pettah Agro Traders,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,2.0,273.98,547.96,100,12.3,12.2,17.64,Magnesium: 2.47 % | Boron: 10.4 g/100g,1.1,No,
AGR-10516,LT24-8246A,2023-08-16,Off-Season,Northern Province,Agromart Ltd,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,1000.0,275.0,275000.0,100,12.0,11.4,17.0,Magnesium: 11.0 g/kg | Boron: 22.4 g/100g,1.3,Yes,Imported directly
